SYSTEM_CODE,PROVIDER,PROVIDER_CODE
BTC_USD,OANDA,BTC_USD
BCH_USD,OANDA,BCH_USD
BCO_USD,OANDA,BCO_USD
XCU_USD,OANDA,XCU_USD
CORN_USD,OANDA,CORN_USD
LTC_USD,OANDA,LTC_USD
MBTC_USD,OANDA,MBTC_USD
NATGAS_USD,OANDA,NATGAS_USD
XPD_USD,OANDA,XPD_USD
XPT_USD,OANDA,XPT_USD
XAG_USD,OANDA,XAG_USD
XAG_AUD,OANDA,XAG_AUD
XAG_CAD,OANDA,XAG_CAD
XAG_CHF,OANDA,XAG_CHF
XAG_EUR,OANDA,XAG_EUR
XAG_GBP,OANDA,XAG_GBP
XAG_HKD,OANDA,XAG_HKD
XAG_JPY,OANDA,XAG_JPY
XAG_NZD,OANDA,XAG_NZD
XAG_SGD,OANDA,XAG_SGD
SOYBN_USD,OANDA,SOYBN_USD
WTICO_USD,OANDA,WTICO_USD
WHEAT_USD,OANDA,WHEAT_USD
SUGAR_USD,OANDA,SUGAR_USD
AUD_CAD,OANDA,AUD_CAD
AUD_CHF,OANDA,AUD_CHF
AUD_HKD,OANDA,AUD_HKD
AUD_JPY,OANDA,AUD_JPY
AUD_NZD,OANDA,AUD_NZD
AUD_SGD,OANDA,AUD_SGD
AUD_USD,OANDA,AUD_USD
CAD_CHF,OANDA,CAD_CHF
CAD_HKD,OANDA,CAD_HKD
CAD_JPY,OANDA,CAD_JPY
CAD_SGD,OANDA,CAD_SGD
CHF_HKD,OANDA,CHF_HKD
CHF_JPY,OANDA,CHF_JPY
CHF_ZAR,OANDA,CHF_ZAR
EUR_AUD,OANDA,EUR_AUD
EUR_CAD,OANDA,EUR_CAD
EUR_CHF,OANDA,EUR_CHF
EUR_CZK,OANDA,EUR_CZK
EUR_DKK,OANDA,EUR_DKK
EUR_GBP,OANDA,EUR_GBP
EUR_HKD,OANDA,EUR_HKD
EUR_HUF,OANDA,EUR_HUF
EUR_JPY,OANDA,EUR_JPY
EUR_NOK,OANDA,EUR_NOK
EUR_NZD,OANDA,EUR_NZD
EUR_PLN,OANDA,EUR_PLN
EUR_SEK,OANDA,EUR_SEK
EUR_SGD,OANDA,EUR_SGD
EUR_TRY,OANDA,EUR_TRY
EUR_USD,OANDA,EUR_USD
EUR_ZAR,OANDA,EUR_ZAR
ETH_USD,OANDA,ETH_USD
GBP_AUD,OANDA,GBP_AUD
GBP_CAD,OANDA,GBP_CAD
GBP_CHF,OANDA,GBP_CHF
GBP_HKD,OANDA,GBP_HKD
GBP_JPY,OANDA,GBP_JPY
GBP_NZD,OANDA,GBP_NZD
GBP_PLN,OANDA,GBP_PLN
GBP_SGD,OANDA,GBP_SGD
GBP_USD,OANDA,GBP_USD
GBP_ZAR,OANDA,GBP_ZAR
XAU_USD,OANDA,XAU_USD
XAU_AUD,OANDA,XAU_AUD
XAU_CAD,OANDA,XAU_CAD
XAU_CHF,OANDA,XAU_CHF
XAU_EUR,OANDA,XAU_EUR
XAU_GBP,OANDA,XAU_GBP
XAU_HKD,OANDA,XAU_HKD
XAU_JPY,OANDA,XAU_JPY
XAU_NZD,OANDA,XAU_NZD
XAU_SGD,OANDA,XAU_SGD
XAU_XAG,OANDA,XAU_XAG
HKD_JPY,OANDA,HKD_JPY
NZD_CAD,OANDA,NZD_CAD
NZD_CHF,OANDA,NZD_CHF
NZD_HKD,OANDA,NZD_HKD
NZD_JPY,OANDA,NZD_JPY
NZD_SGD,OANDA,NZD_SGD
NZD_USD,OANDA,NZD_USD
SGD_CHF,OANDA,SGD_CHF
SGD_JPY,OANDA,SGD_JPY
USD_CAD,OANDA,USD_CAD
USD_CHF,OANDA,USD_CHF
USD_CNH,OANDA,USD_CNH
USD_CZK,OANDA,USD_CZK
USD_DKK,OANDA,USD_DKK
USD_HKD,OANDA,USD_HKD
USD_HUF,OANDA,USD_HUF
USD_JPY,OANDA,USD_JPY
USD_MXN,OANDA,USD_MXN
USD_NOK,OANDA,USD_NOK
USD_PLN,OANDA,USD_PLN
USD_SEK,OANDA,USD_SEK
USD_SGD,OANDA,USD_SGD
USD_THB,OANDA,USD_THB
USD_TRY,OANDA,USD_TRY
USD_ZAR,OANDA,USD_ZAR
ZAR_JPY,OANDA,ZAR_JPY
TRY_JPY,OANDA,TRY_JPY
AU200_AUD,OANDA,AU200_AUD
DE10YB_EUR,OANDA,DE10YB_EUR
CN50_USD,OANDA,CN50_USD
CHINAH_HKD,OANDA,CHINAH_HKD
EU50_EUR,OANDA,EU50_EUR
FR40_EUR,OANDA,FR40_EUR
DE30_EUR,OANDA,DE30_EUR
HK33_HKD,OANDA,HK33_HKD
JP225_USD,OANDA,JP225_USD
JP225Y_JPY,OANDA,JP225Y_JPY
NL25_EUR,OANDA,NL25_EUR
SG30_SGD,OANDA,SG30_SGD
ESPIX_EUR,OANDA,ESPIX_EUR
CH20_CHF,OANDA,CH20_CHF
UK100_GBP,OANDA,UK100_GBP
UK10YB_GBP,OANDA,UK10YB_GBP
USB10Y_USD,OANDA,USB10Y_USD
USB02Y_USD,OANDA,USB02Y_USD
USB05Y_USD,OANDA,USB05Y_USD
NAS100_USD,OANDA,NAS100_USD
US2000_USD,OANDA,US2000_USD
SPX500_USD,OANDA,SPX500_USD
USB30Y_USD,OANDA,USB30Y_USD
US30_USD,OANDA,US30_USD
