CODE,BASE,QUOTE,TYPE
BTC_USD,BTC,USD,COMMODITY
BCH_USD,BCH,USD,COMMODITY
BCO_USD,BCO,USD,COMMODITY
XCU_USD,XCU,USD,COMMODITY
CORN_USD,CORN,USD,COMMODITY
LTC_USD,LTC,USD,COMMODITY
MBTC_USD,MBTC,USD,COMMODITY
NATGAS_USD,NATGAS,USD,COMMODITY
XPD_USD,XPD,USD,COMMODITY
XPT_USD,XPT,USD,COMMODITY
XAG_USD,XAG,USD,COMMODITY
XAG_AUD,XAG,AUD,COMMODITY
XAG_CAD,XAG,CAD,COMMODITY
XAG_CHF,XAG,CHF,COMMODITY
XAG_EUR,XAG,EUR,COMMODITY
XAG_GBP,XAG,GBP,COMMODITY
XAG_HKD,XAG,HKD,COMMODITY
XAG_JPY,XAG,JPY,COMMODITY
XAG_NZD,XAG,NZD,COMMODITY
XAG_SGD,XAG,SGD,COMMODITY
SOYBN_USD,SOYBN,USD,COMMODITY
WTICO_USD,WTICO,USD,COMMODITY
WHEAT_USD,WHEAT,USD,COMMODITY
SUGAR_USD,SUGAR,USD,COMMODITY
AUD_CAD,AUD,CAD,FOREX
AUD_CHF,AUD,CHF,FOREX
AUD_HKD,AUD,HKD,FOREX
AUD_JPY,AUD,JPY,FOREX
AUD_NZD,AUD,NZD,FOREX
AUD_SGD,AUD,SGD,FOREX
AUD_USD,AUD,USD,FOREX
CAD_CHF,CAD,CHF,FOREX
CAD_HKD,CAD,HKD,FOREX
CAD_JPY,CAD,JPY,FOREX
CAD_SGD,CAD,SGD,FOREX
CHF_HKD,CHF,HKD,FOREX
CHF_JPY,CHF,JPY,FOREX
CHF_ZAR,CHF,ZAR,FOREX
EUR_AUD,EUR,AUD,FOREX
EUR_CAD,EUR,CAD,FOREX
EUR_CHF,EUR,CHF,FOREX
EUR_CZK,EUR,CZK,FOREX
EUR_DKK,EUR,DKK,FOREX
EUR_GBP,EUR,GBP,FOREX
EUR_HKD,EUR,HKD,FOREX
EUR_HUF,EUR,HUF,FOREX
EUR_JPY,EUR,JPY,FOREX
EUR_NOK,EUR,NOK,FOREX
EUR_NZD,EUR,NZD,FOREX
EUR_PLN,EUR,PLN,FOREX
EUR_SEK,EUR,SEK,FOREX
EUR_SGD,EUR,SGD,FOREX
EUR_TRY,EUR,TRY,FOREX
EUR_USD,EUR,USD,FOREX
EUR_ZAR,EUR,ZAR,FOREX
ETH_USD,ETH,USD,FOREX
GBP_AUD,GBP,AUD,FOREX
GBP_CAD,GBP,CAD,FOREX
GBP_CHF,GBP,CHF,FOREX
GBP_HKD,GBP,HKD,FOREX
GBP_JPY,GBP,JPY,FOREX
GBP_NZD,GBP,NZD,FOREX
GBP_PLN,GBP,PLN,FOREX
GBP_SGD,GBP,SGD,FOREX
GBP_USD,GBP,USD,FOREX
GBP_ZAR,GBP,ZAR,FOREX
XAU_USD,XAU,USD,FOREX
XAU_AUD,XAU,AUD,FOREX
XAU_CAD,XAU,CAD,FOREX
XAU_CHF,XAU,CHF,FOREX
XAU_EUR,XAU,EUR,FOREX
XAU_GBP,XAU,GBP,FOREX
XAU_HKD,XAU,HKD,FOREX
XAU_JPY,XAU,JPY,FOREX
XAU_NZD,XAU,NZD,FOREX
XAU_SGD,XAU,SGD,FOREX
XAU_XAG,XAU,XAG,FOREX
HKD_JPY,HKD,JPY,FOREX
NZD_CAD,NZD,CAD,FOREX
NZD_CHF,NZD,CHF,FOREX
NZD_HKD,NZD,HKD,FOREX
NZD_JPY,NZD,JPY,FOREX
NZD_SGD,NZD,SGD,FOREX
NZD_USD,NZD,USD,FOREX
SGD_CHF,SGD,CHF,FOREX
SGD_JPY,SGD,JPY,FOREX
USD_CAD,USD,CAD,FOREX
USD_CHF,USD,CHF,FOREX
USD_CNH,USD,CNH,FOREX
USD_CZK,USD,CZK,FOREX
USD_DKK,USD,DKK,FOREX
USD_HKD,USD,HKD,FOREX
USD_HUF,USD,HUF,FOREX
USD_JPY,USD,JPY,FOREX
USD_MXN,USD,MXN,FOREX
USD_NOK,USD,NOK,FOREX
USD_PLN,USD,PLN,FOREX
USD_SEK,USD,SEK,FOREX
USD_SGD,USD,SGD,FOREX
USD_THB,USD,THB,FOREX
USD_TRY,USD,TRY,FOREX
USD_ZAR,USD,ZAR,FOREX
ZAR_JPY,ZAR,JPY,FOREX
TRY_JPY,TRY,JPY,FOREX
AU200_AUD,AU200,AUD,INDEX
CH20_CHF,CH20,CHF,INDEX
CHINAH_HKD,CHINAH,HKD,INDEX
CN50_USD,CN50,USD,INDEX
DE10YB_EUR,DE10YB,EUR,INDEX
DE30_EUR,DE30,EUR,INDEX
ESPIX_EUR,ESPIX,EUR,INDEX
EU50_EUR,EU50,EUR,INDEX
FR40_EUR,FR40,EUR,INDEX
HK33_HKD,HK33,HKD,INDEX
JP225_USD,JP225,USD,INDEX
JP225Y_JPY,JP225Y,JPY,INDEX
NAS100_USD,NAS100,USD,INDEX
NL25_EUR,NL25,EUR,INDEX
SG30_SGD,SG30,SGD,INDEX
SPX500_USD,SPX500,USD,INDEX
UK100_GBP,UK100,GBP,INDEX
UK10YB_GBP,UK10YB,GBP,INDEX
US2000_USD,US2000,USD,INDEX
US30_USD,US30,USD,INDEX
USB02Y_USD,USB02Y,USD,INDEX
USB05Y_USD,USB05Y,USD,INDEX
USB10Y_USD,USB10Y,USD,INDEX
USB30Y_USD,USB30Y,USD,INDEX
